,Stock,Stock,Stock,Stock,Stock,Stock,US Portfolio,US Portfolio,US Portfolio,US Portfolio,US Portfolio,US Portfolio,Country Port,Country Port,Country Port,Country Port,Country Port,Country Port,US Riskfree
,Barrick,Hanson,IBM,Nokia,Telefonos,YPF,Small-Growth,Small-Neutral,Small-Value,Big-Growth,Big-Neutral,Big-Value,Australia,Hong Kong,Italy,Japan,Norway,US,US Riskfree
Dec-06,-0.035036018,-0.002422611,0.020626036,0.0875692,0.086256263,0.005024028,-0.0059,0.0083,0.0208,0.0043,0.0179,0.0279,0.0359,0.0623,0.0272,0.024,0.0539,0.0108,0.004
Nov-06,-0.023657289,0.048842462,0.056851791,0.005058169,0.090128755,-0.009519688,0.0258,0.0266,0.0308,0.0142,0.0283,0.0194,0.0338,0.0604,0.0574,0.0045,0.089,0.0237,0.0042
Oct-06,0.01789782,0.03779666,-0.001203501,0.016975309,-0.010806638,0.034930587,0.0587,0.0501,0.0517,0.0314,0.0308,0.0478,0.0865,0.011,0.0427,0.0194,0.0884,0.0371,0.0041
Sep-06,0.009195402,-0.034921533,0.126864752,0.009345794,0.031449045,0.070213276,0.0109,0.0111,0.0087,0.0269,0.0216,0.0186,-0.0153,0.0079,0.0067,-0.0188,-0.0752,0.0195,0.0041
Aug-06,-0.082278481,0.143573161,0.011977542,-0.056807052,0.067573311,-0.038257663,0.0322,0.0274,0.0238,0.0345,0.0158,0.0081,0.0223,0.0271,0.0398,0.0168,-0.0398,0.0251,0.0042
Jul-06,0.086799869,0.037229582,0.050045854,0.052035033,0.030210158,0.019981194,-0.0576,-0.0273,-0.0175,-0.0118,0.0126,0.0141,0.0174,0.0244,0.0103,-0.0083,0.0406,-0.0018,0.004
Jun-06,0.040558964,0.008797158,0.007789807,-0.020191822,0.125123153,0.099793175,-0.0065,0.0027,0.0024,-0.0037,0.0005,0.0167,0.0071,0.0073,-0.002,-0.011,-0.029,-0.0004,0.004
May-06,-0.032959789,-0.003204047,-0.038588474,-0.056666667,0.062271062,0.000258598,-0.0771,-0.0448,-0.04,-0.0312,-0.0271,-0.0137,-0.0549,-0.0627,-0.0214,-0.0628,-0.0752,-0.031,0.0043
Apr-06,0.007973422,-0.084028421,-0.026084807,-0.05234657,-0.099858691,-0.17688378,-0.008,0.0094,0.0151,-0.0031,0.0234,0.0344,0.0933,0.0508,0.0415,0.0275,0.0982,0.013,0.0036
Mar-06,0.118959108,0.039165329,-0.001604542,0.093780849,-0.021658986,-0.030740664,0.0408,0.0549,0.0495,0.0157,0.0166,0.0084,0.0043,0.0119,0.0308,0.0227,0.1177,0.0191,0.0037
Feb-06,-0.004809471,0.071182944,0.027781302,0.138842046,0.012126866,-0.02807299,-0.0042,-0.0036,-0.0065,0.0033,0.004,-0.01,-0.0205,0.0069,0.0152,-0.0102,-0.0081,-0.0016,0.0034
Jan-06,-0.130028967,0.051527753,-0.010543492,0.010795455,-0.057167986,0.008901477,0.0859,0.0937,0.0761,0.0126,0.0387,0.0445,0.0749,0.058,0.0614,0.0434,0.1209,0.0401,0.0035
Dec-05,0.128997093,0.055534351,-0.010924891,0.00456621,-0.038071066,0.036268344,-0.0018,-0.0017,-0.0032,-0.0065,0.0102,0.0043,0.0247,0.012,0.0439,0.0891,0.0459,0.0035,0.0032
Nov-05,0.04718417,0.072232453,-0.075413223,0.071559633,0.108818011,-0.115848007,0.0496,0.0487,0.0354,0.0426,0.0388,0.0221,0.0264,0.033,0.0186,0.0364,-0.0004,0.0404,0.0031
Oct-05,0.057971014,0.012220381,0.0883198,0.01552795,0.11099531,-0.008818666,-0.036,-0.0286,-0.025,-0.0026,-0.0281,-0.0292,-0.0519,-0.0691,-0.0641,-0.0074,-0.0715,-0.0208,0.0027
Sep-05,-0.130556528,-0.02720129,0.020655361,-0.005558987,-0.050939664,-0.116109126,0.0052,0.0057,0.0039,-0.0023,0.0182,0.022,0.0535,0.0239,0.0146,0.0899,0.018,0.0106,0.0029
Aug-05,0.107793718,-0.009381238,-0.004947983,0.07218543,0.11774461,0.088947834,-0.0203,-0.0136,-0.0092,-0.0163,0.0006,0.0006,0.0095,-0.0099,0.0182,0.0746,0.0838,-0.0059,0.003
Jul-05,0.070124481,0.055181129,-0.031695332,-0.01113294,-0.003305785,0.120689655,0.0672,0.0686,0.0612,0.0461,0.0266,0.0422,0.0242,0.0619,0.0462,0.0102,0.0649,0.0433,0.0024
Jun-05,-0.02112104,0.053005101,0.124775459,-0.041431262,0.019662921,0.010614861,0.0255,0.042,0.046,-0.0098,0.0197,0.0263,0.0526,0.037,0.0079,0.007,0.1071,0.0115,0.0023
May-05,0.088898717,0.032989691,-0.017779587,-0.013011152,0.021814007,0.085670798,0.0731,0.0621,0.0561,0.0392,0.0296,0.0326,-0.001,-0.0039,-0.0179,-0.0193,0.0115,0.0379,0.0024
Apr-05,0.034782609,0.003909844,-0.008211065,0.054901961,0.1011378,-0.006480881,-0.0642,-0.0565,-0.0639,-0.0133,-0.0295,-0.0233,-0.0144,0.0373,-0.0489,-0.0215,-0.0352,-0.0252,0.0021
Mar-05,-0.068230277,0.003230272,-0.164247947,0.06545961,-0.018610422,0.033951307,-0.0398,-0.0238,-0.0184,-0.0123,-0.0281,-0.0006,-0.0387,-0.0342,-0.0062,-0.0224,-0.0336,-0.0169,0.0021
Feb-05,-0.037751334,-0.032805177,-0.012881732,-0.043941411,-0.112334802,-0.147238095,0.0039,0.0221,0.036,0.0081,0.0435,0.0322,0.049,0.0372,0.0292,0.0162,0.1262,0.0227,0.0016
Jan-05,0.138785047,0.042093023,-0.007166483,0.05625879,0.052753623,0.317771084,-0.0572,-0.0305,-0.0228,-0.0295,-0.0178,-0.014,0.0074,-0.0362,-0.017,-0.0167,-0.0212,-0.0266,0.0016
Dec-04,-0.097427246,0.088607595,-0.052345627,-0.024691358,-0.028169014,0.063818425,0.0422,0.0261,0.0387,0.0404,0.0258,0.0363,0.0435,0.0213,0.0806,0.0529,0.002,0.0352,0.0016
Nov-04,-0.014956377,0.067567568,0.04612526,-0.031229236,0.104542626,0.028281164,0.0813,0.0862,0.0982,0.0345,0.0523,0.0559,0.0833,0.097,0.0785,0.048,0.1262,0.0482,0.0015
Oct-04,0.097082954,0.089837997,0.051971944,0.048780488,0.022264631,0.069917744,0.0321,0.0117,0.0139,0.0176,0.0089,0.016,0.0613,-0.0065,0.0591,0.0241,0.0248,0.0178,0.0011
Sep-04,0.070243902,-0.002643948,0.04682234,0.123727486,0.060728745,0,0.0552,0.0492,0.0382,0.0054,0.0228,0.0295,0.0589,0.0141,0.0595,-0.028,0.1137,0.0206,0.0011
Aug-04,0.051821447,0.079606724,0.012429929,0.155656109,0.00610998,0.057142857,-0.0205,-0.002,-0.0082,-0.0018,0.0091,0.0054,0.012,0.0634,-0.0055,0.0067,0.0273,0.0027,0.0011
Jul-04,0.046162104,-0.010047096,-0.025299917,0.022201665,0.048398577,-0.028071235,-0.0986,-0.0522,-0.0434,-0.0491,-0.0167,-0.0155,0.0043,0.0176,-0.0235,-0.061,-0.0147,-0.0377,0.001
Jun-04,-0.032207792,0.013685551,-0.012202276,-0.201034738,-0.071381362,0.0353125,0.0341,0.0433,0.0521,0.012,0.0222,0.0299,-0.0018,0.0031,0.0288,0.045,0.0324,0.0216,0.0008
May-04,-0.044190665,-0.092169893,-0.005019846,0.057857701,-0.002636783,0.003134796,0.0102,0.0104,0.0072,0.014,0.0081,0.0123,0.0086,-0.0069,-0.0054,-0.029,0.036,0.0141,0.0006
Apr-04,0.080472103,-0.003455226,0.006817113,-0.019171779,-0.014294997,-0.015432099,-0.036,-0.0337,-0.061,-0.0069,-0.0317,-0.0177,-0.0491,-0.0504,0.0135,-0.0496,-0.026,-0.0242,0.0008
Mar-04,-0.19132321,0.016686183,-0.039945836,-0.308956015,-0.022236341,0.068954141,0.0108,0.0057,0.0036,-0.0184,-0.0054,-0.0108,0.0041,-0.0605,-0.0278,0.1424,-0.0009,-0.0107,0.0009
Feb-04,0.1629667,-0.046875,-0.048324742,-0.050804829,0.036208032,0.044452102,0.0044,0.0068,0.0066,0.012,0.0244,0.0182,0.0426,0.0316,0.0164,0.0006,0.0881,0.0155,0.0006
Jan-04,0.038239916,0.092682927,-0.025941423,0.054082715,-0.012995452,0.018603019,0.0389,0.0432,0.0606,0.0157,0.0212,0.0274,0.0049,0.0962,0.0202,0.0169,0.0096,0.0231,0.0007
Dec-03,-0.13266697,0.019266625,0.070668608,0.215206186,0.04197698,0.010283688,0.0079,0.0236,0.0396,0.0428,0.0493,0.0653,0.0791,0.0226,0.05,0.0673,0.094,0.0455,0.0008
Nov-03,0.016628176,0.041087027,0.023615729,-0.054811206,0.006816633,0.102854908,0.0291,0.0387,0.0447,0.0086,0.0169,0.0208,-0.0038,-0.0019,0.0808,-0.0323,0.0536,0.0166,0.0007
Oct-03,0.152822151,0.020805812,0.013712958,0.058671825,0.029473684,0.016699801,0.0813,0.0823,0.108,0.0511,0.0742,0.06,0.086,0.0479,0.0509,0.0416,0.1193,0.0603,0.0007
Sep-03,0.034140969,0.074139766,0.013068048,0.089185393,0.052437223,0.231635651,-0.0173,-0.0173,0.009,-0.0081,-0.0195,-0.0149,0.0326,0.0594,0.0425,0.0614,-0.002,-0.0091,0.0008
Aug-03,-0.068240123,-0.017770035,0.07696209,-0.042367182,0.01728024,0.089647812,0.0453,0.0499,0.061,0.018,0.0225,0.0377,0.0311,0.1132,-0.0238,0.1047,0.008,0.0249,0.0007
Jul-03,0.180496669,0.129476584,0.011413183,0.064423765,-0.017712177,-0.048730964,0.0837,0.0622,0.0635,0.0233,0.0172,0.0024,0.0027,0.065,-0.0003,0.0406,0.0638,0.0231,0.0007
Jun-03,-0.043453071,0.032507111,-0.015155342,-0.068666667,-0.017403916,0.008188332,0.024,0.0251,0.0341,0.012,0.0136,0.0132,0.0348,0.0118,-0.0277,0.0786,0.0391,0.0163,0.001
May-03,0.023724792,-0.02302501,-0.06295858,-0.089253188,0.046282246,0.079558011,0.131,0.1068,0.104,0.0497,0.0711,0.0805,0.0482,0.0864,0.1057,0.0468,0.0495,0.0635,0.0009
Apr-03,0.176552687,0.032377049,0.038977007,0.088565763,0.00304414,0.256944444,0.1121,0.0941,0.0917,0.0759,0.0895,0.0974,0.0847,-0.0096,0.1373,0.0062,0.1287,0.0828,0.001
Mar-03,-0.038900067,0.185041282,0.082523626,0.182955434,0.017027864,0.146496815,0.0206,0.0063,0.0089,0.0171,-0.0001,-0.0062,0.0298,-0.0508,-0.0559,-0.0436,0.0054,0.0103,0.001
Feb-03,-0.034951456,0.042531646,0.006160439,0.080236486,0.031125299,0.192782526,-0.0354,-0.0242,-0.0346,-0.0103,-0.0322,-0.0422,-0.0238,-0.0104,0.0198,0.0105,-0.073,-0.0154,0.0009
Jan-03,-0.020291693,0.06930157,-0.001337435,-0.08003108,-0.028682171,0.14208243,-0.0228,-0.024,-0.0135,-0.0266,-0.0232,-0.0529,0.0278,0.0135,-0.0144,-0.0365,-0.0562,-0.0234,0.001
Dec-02,0.067704807,-0.006989247,0.009041835,-0.072098053,-0.063860668,0.132678133,-0.0913,-0.0409,-0.0345,-0.0627,-0.0452,-0.0428,-0.0159,-0.0645,-0.0318,-0.024,0.0284,-0.0533,0.0011
Nov-02,0.058022923,-0.119734974,-0.10841054,-0.193135544,0.000726216,0.082446809,0.139,0.0745,0.0772,0.0507,0.0642,0.0811,0.0254,0.06,0.0971,0.0397,0.0631,0.0613,0.0012
Oct-02,-0.026499303,0.099947944,0.103132466,0.15601883,0.056792018,0.242975207,0.0688,0.0424,-0.0028,0.0962,0.0651,0.0365,0.0529,0.037,0.0926,-0.0659,0.0443,0.075,0.0014
Sep-02,-0.031081081,-0.109411219,0.353818509,0.254852321,0.08312552,-0.042721519,-0.0862,-0.0766,-0.0663,-0.1056,-0.1032,-0.1021,-0.0565,-0.0749,-0.1383,-0.0494,-0.1205,-0.1,0.0014
Aug-02,-0.03204709,-0.155772994,-0.226438699,-0.003364172,-0.040669856,-0.140136054,-0.0056,0.0048,-0.0086,0.0025,0.0079,0.048,0.0243,-0.0468,0.0191,-0.0137,0.0017,0.008,0.0014
Jul-02,0.048696845,-0.01465484,0.073090692,0.07213706,0.025347506,0.214876033,-0.1461,-0.1419,-0.1487,-0.0601,-0.0937,-0.1297,-0.0633,-0.0383,-0.0917,-0.0593,-0.0887,-0.0811,0.0015
Jun-02,-0.193137797,-0.121909922,-0.022170362,-0.144290123,-0.099410898,-0.044233807,-0.0763,-0.0278,-0.0235,-0.0735,-0.0643,-0.0959,-0.0523,-0.0552,-0.0138,-0.0535,-0.0158,-0.0702,0.0013
May-02,-0.128736741,-0.074294671,-0.105077666,0.043478261,-0.069225497,-0.045248869,-0.0648,-0.0367,-0.0253,-0.0137,0.0013,-0.0027,0.062,-0.0319,-0.023,0.0715,0.0121,-0.0105,0.0014
Apr-02,0.091004734,0.052110818,-0.037562814,-0.146391753,-0.080655325,-0.260869565,-0.0356,0.0273,0.0393,-0.0692,-0.0138,-0.0599,-0.0119,0.0557,0.0051,0.0545,0.0141,-0.0496,0.0015
Mar-02,0.081342435,-0.025706941,-0.194658033,-0.216056034,-0.063164109,-0.174793008,0.0899,0.0749,0.1003,0.0363,0.0518,0.0485,0.0408,0.055,0.0692,0.0632,0.0889,0.0447,0.0013
Feb-02,0.028671738,0.146647015,0.059946381,0.008147746,0.062068966,0.055339806,-0.0816,-0.0128,-0.0045,-0.026,0.0017,-0.0239,0.0048,-0.0333,0.001,0.0421,0.0559,-0.0217,0.0013
Jan-02,0.05558987,0.016479401,-0.089355469,-0.114051973,-0.002501563,-0.020912548,-0.0515,0.0113,0.0271,-0.0087,-0.0185,-0.0174,0.0023,-0.015,-0.0337,-0.0764,-0.0422,-0.0161,0.0014
Dec-01,0.07218543,-0.021260997,-0.10809163,-0.044158234,0.096707819,-0.115222876,0.0664,0.068,0.0687,0.0076,0.0293,0.013,0.0121,0.0511,0.0118,-0.0817,0.0513,0.0178,0.0015
Nov-01,0.053733426,0.00331004,0.046486191,0.066208926,0.052707581,0.230848861,0.092,0.0715,0.0896,0.0825,0.0589,0.1,0.0669,0.1053,0.0376,0.003,0.0597,0.0787,0.0017
Oct-01,-0.021843003,-0.021238301,0.070863836,0.121562156,-0.016335227,0.087837838,0.1116,0.0504,0.0444,0.033,0.0086,-0.0399,0.0838,0.0375,0.0409,0.0054,0.0149,0.028,0.0022
Sep-01,-0.10177805,-0.023206751,0.17826337,0.31074261,0.055472264,-0.003367003,-0.1719,-0.1293,-0.1438,-0.0829,-0.0904,-0.0773,-0.1153,-0.1347,-0.1517,-0.0728,-0.1385,-0.0915,0.0028
Aug-01,0.083001328,-0.096856145,-0.0823219,-0.005734767,-0.10828877,-0.166510758,-0.0764,-0.0234,-0.0119,-0.0694,-0.0398,-0.067,0.0215,-0.0605,-0.014,-0.0308,-0.0306,-0.0591,0.0031
Jul-01,0.075714286,0.091507799,-0.048694779,-0.278323849,0.052779733,-0.091758709,-0.0943,-0.0401,-0.0109,-0.0168,-0.0125,0.0106,-0.0498,-0.0197,0.0206,-0.085,0.0013,-0.0183,0.003
Jun-01,-0.016853933,-0.03672788,-0.073057236,-0.017285206,-0.011821975,-0.052334944,0.0643,0.0518,0.0216,-0.019,-0.0201,-0.0179,0.0281,-0.0324,-0.0483,-0.057,-0.0344,-0.0175,0.0028
May-01,-0.081882656,0.050140252,0.01521164,-0.241126543,0.016973126,-0.206389776,0.0406,0.0452,0.063,0.0041,0.0181,0.0378,0.0088,-0.0085,-0.0859,-0.0038,-0.0247,0.0106,0.0032
Apr-01,0.0163827,0.053954176,-0.027831359,-0.144554455,-0.002820874,0.03505291,0.101,0.0498,0.0504,0.0891,0.0547,0.0503,0.1077,0.018,0.0538,0.0859,0.0738,0.0839,0.0039
Mar-01,0.143071161,0.2,0.197031336,0.424541608,0.096674401,-0.025145068,-0.0734,-0.0149,-0.012,-0.0817,-0.0176,-0.0185,-0.1095,-0.1095,-0.0696,-0.0349,-0.0808,-0.0703,0.0044
Feb-01,-0.117647059,-0.113600629,-0.037158586,0.102072539,-0.014481707,-0.046125461,-0.1222,-0.0047,0.004,-0.1161,-0.0037,0.0318,-0.0555,-0.0181,-0.108,-0.0549,-0.0275,-0.0993,0.0039
Jan-01,0.047058824,0.013949781,-0.107014559,-0.359442416,-0.013533835,0.019435737,0.1232,0.0522,0.0638,0.0373,0.0109,-0.0157,0.0393,0.0304,0.024,-0.0034,0.038,0.0395,0.0054
Dec-00,-0.055555556,-0.064155166,0.317638266,-0.210429769,0.202531646,0.001884422,0.0275,0.0918,0.0814,-0.0027,0.091,0.065,0.0398,0.1139,0.0169,-0.0861,0.066,0.0203,0.005
Nov-00,0.092077088,0.277274893,-0.09092968,0.0176,-0.031523643,-0.03045067,-0.1623,-0.0426,-0.0253,-0.1091,-0.0308,0.0037,0.0197,-0.0194,0.0132,-0.0268,-0.0356,-0.1025,0.0051
Oct-00,0.12983871,0.021411192,-0.04961257,0,-0.130898021,0.011083744,-0.0811,-0.0107,-0.0187,-0.0219,0.0066,0.0129,-0.0512,-0.0463,0.0103,-0.0677,-0.0283,-0.0246,0.0056
Sep-00,-0.123055163,-0.056040423,-0.125294173,0.045733408,0.014671815,-0.031026253,-0.0708,-0.002,-0.0098,-0.0619,0.0187,0.0143,-0.0575,-0.0413,-0.0565,-0.0429,-0.0229,-0.0511,0.0051
Aug-00,-0.043948614,-0.055531453,-0.146952542,-0.08660214,-0.019682059,-0.110403397,0.0845,0.0551,0.0626,0.0755,0.0894,0.0706,-0.0012,0.0584,-0.0047,0.0636,0.065,0.0764,0.005
Jul-00,0.00067659,0.022626442,0.177365983,0.017098446,0.040977147,-0.033350436,-0.0723,0.015,0.0222,-0.0297,0.0367,0.0437,-0.0431,0.0661,-0.0355,-0.1126,-0.0174,-0.0171,0.0048
Jun-00,-0.122848665,-0.171932403,0.02460525,-0.128668172,-0.08573487,-0.043670265,0.1715,0.0903,0.0786,0.0493,-0.0587,-0.054,0.1277,0.0867,0.0568,0.0673,0.101,0.0516,0.004
May-00,0.00297619,0.007029227,0.020967263,-0.028934678,0.180272109,0.160592255,-0.0777,-0.0546,-0.0364,-0.0339,0.0088,-0.0003,-0.0316,-0.1003,0.0284,-0.0709,0.0389,-0.039,0.005
Apr-00,0.084570691,-0.042847025,-0.036405223,-0.072387149,-0.171830986,0.04028436,-0.1424,-0.0546,-0.0447,-0.0427,-0.0114,0.041,-0.0317,-0.0923,-0.0644,-0.0802,-0.0738,-0.0595,0.0046
Mar-00,0.071230982,0.058867642,-0.058078995,0.010063668,-0.117464264,-0.088060508,-0.1362,-0.0374,-0.0102,0.087,0.1066,0.1198,-0.0113,0.0413,-0.0722,0.0787,0.0108,0.0535,0.0047
Feb-00,-0.037924152,0.109862672,0.152016546,0.122406639,0.01642451,-0.001618123,0.2859,0.1535,0.1144,0.0121,-0.0448,-0.0697,-0.0254,0.0306,0.1704,-0.0227,0.0067,0.0317,0.0043
Jan-00,-0.003976143,-0.11459101,-0.083672889,0.07296562,0.234789392,0.018681319,0.0065,-0.0025,0.0024,-0.0478,-0.038,-0.0394,-0.0414,-0.0753,-0.0515,-0.0553,-0.0759,-0.0398,0.0041
Dec-99,-0.074233129,-0.106943073,0.040627157,-0.031616766,-0.053175775,-0.049111808,0.1797,0.0843,0.0575,0.0782,0.0197,0.0186,0.0559,0.097,0.2044,0.0508,0.1134,0.0839,0.0044
Nov-99,-0.01748041,-0.025961538,0.046650841,0.364825106,0.21981982,-0.040601504,0.1278,0.0611,0.0332,0.0414,-0.025,-0.0197,0.0657,0.1143,0.0371,0.0763,0.0405,0.0369,0.0036
Oct-99,-0.006586826,0.071428571,0.050411969,0.211485149,0.082926829,-0.0025,0.0113,-0.0058,-0.0302,0.0701,0.057,0.0484,-0.0218,0.0362,-0.028,0.0689,-0.0462,0.062,0.0039
Sep-99,-0.157841654,-0.00171409,-0.188028169,0.285641548,0.198830409,-0.002991027,0.0082,-0.008,-0.0255,-0.0196,-0.0566,-0.0478,0.0095,-0.0462,0.0174,0.0677,0.0116,-0.0228,0.0039
Aug-99,0.122241087,-0.086439085,-0.02864472,0.074986316,-0.036076663,-0.007912957,-0.0288,-0.0306,-0.0284,-0.0026,-0.0262,-0.0216,-0.0504,0.0049,0.0186,0.0238,0.0288,-0.01,0.0039
Jul-99,0.043709392,-0.04572624,-0.007973535,-0.017213556,-0.014444444,-0.026948989,-0.0124,-0.0086,-0.0052,-0.0313,-0.0352,-0.0272,-0.0036,-0.0278,-0.024,0.1035,0.0407,-0.0306,0.0038
Jun-99,-0.041878891,0.013939394,-0.027550936,-0.070964518,-0.065420561,0.067282999,0.0647,0.06,0.0597,0.068,0.0266,-0.0086,0.0542,0.1027,-0.0211,0.0962,-0.0141,0.051,0.004
May-99,0.123331214,-0.020480855,0.114246324,0.285163776,0.015822785,-0.098193608,0.0134,0.0157,0.0445,-0.0256,-0.009,-0.0023,-0.0762,-0.0763,-0.0415,-0.0441,-0.0256,-0.0207,0.0034
Apr-99,-0.132377275,-0.069337017,0.110317379,-0.039481801,0.055679287,0.013139371,0.1003,0.0977,0.0866,0.0178,0.088,0.0819,0.0982,0.2188,-0.0234,0.0493,0.0746,0.049,0.0037
Mar-99,0.178803641,0.124572849,0.18017584,-0.047591069,0.146871009,0.324425109,0.0003,0.002,-0.0274,0.042,0.0369,0.0106,0.0532,0.1274,0.0364,0.1464,0.1039,0.0379,0.0043
Feb-99,-0.035131744,0.083109017,0.044139839,0.155465037,0.161721068,0.088633288,-0.0931,-0.0693,-0.0812,-0.0448,-0.0066,-0.0215,-0.0288,0.0058,-0.0155,-0.0282,-0.0916,-0.0381,0.0035
Jan-99,-0.07217695,0.240400668,-0.07243672,-0.058785942,0.11774461,-0.083126551,0.0463,0.0126,0.0045,0.0566,-0.0034,-0.0107,0.0717,-0.0825,-0.0436,0.0073,0.1165,0.0383,0.0035
Dec-98,-0.022196927,-0.160182264,-0.006144215,0.19648318,0.050522648,0.140835103,0.0677,0.033,0.0277,0.0881,0.0183,0.0274,-0.0001,-0.0202,0.0753,0.0355,-0.0587,0.0631,0.0038
Nov-98,-0.024972253,0.050441826,0.116634304,0.229323308,0.055147059,-0.061129568,0.0907,0.0548,0.054,0.07,0.0574,0.0389,0.0667,0.0007,0.1098,0.0423,-0.0786,0.062,0.0031
Oct-98,-0.056544503,0.051490515,0.113593773,0.053465347,-0.116883117,0.035788025,0.0485,0.0358,0.0284,0.0823,0.0779,0.0485,0.0854,0.3218,0.0627,0.1674,0.1517,0.0744,0.0032
Sep-98,0.068830442,0.138888889,0.155588872,0.188235294,0.19844358,0.112557427,0.0869,0.0557,0.028,0.0778,0.0395,0.0562,0.0856,0.1711,-0.0508,-0.0205,-0.0199,0.0638,0.0046
Aug-98,0.539190353,0.277027027,0.141037826,0.172413793,0.244552058,0.175517552,-0.2412,-0.1873,-0.1713,-0.1432,-0.1771,-0.1119,-0.1318,-0.0741,-0.1397,-0.1072,-0.2823,-0.1577,0.0043
Jul-98,-0.206425154,-0.044133477,-0.148567729,-0.234424498,-0.284228769,-0.235900963,-0.0767,-0.0779,-0.0661,-0.005,-0.0304,-0.0391,-0.0015,-0.0772,0.0975,-0.0102,0.0139,-0.0233,0.004
Jun-98,-0.149418605,-0.150434385,0.1540904,0.198734177,0.035906643,-0.027424749,0.0074,-0.009,0.0032,0.0584,0.0157,0.0243,-0.0012,-0.0688,-0.0574,0.0069,-0.0336,0.032,0.0041
May-98,0,0.025316456,-0.022814382,0.120567376,0.022018349,-0.033613445,-0.0744,-0.0464,-0.0257,-0.0258,-0.0236,0.0102,-0.0455,-0.1425,0.0496,-0.0481,-0.0849,-0.0258,0.004
Apr-98,-0.133937563,-0.006057782,0.015946597,-0.02892562,-0.161538462,-0.102147417,0.0078,0.015,0.0217,0.0119,0.0158,0.004,-0.0148,-0.1056,-0.0326,-0.0085,0.0537,0.0109,0.0043
Mar-98,0.037617555,0.006566604,0.11540848,0.23890785,0.004636785,0.026206075,0.0445,0.0454,0.0474,0.0459,0.0517,0.0763,-0.0044,-0.0248,0.2122,-0.0679,0.0873,0.0513,0.0039
Feb-98,0.119953189,0.199774902,-0.005348694,0.085185185,0.119377163,0.074903969,0.0829,0.0707,0.0718,0.0722,0.0776,0.0687,0.0256,0.2169,0.0471,0.0057,0.0393,0.0732,0.0039
Jan-98,-0.003498542,0.137644046,0.059734031,0.326781327,0.03030303,0.046215673,-0.0032,-0.0152,-0.0072,0.0296,-0.0219,-0.0023,0.0649,-0.155,0.1116,0.0959,-0.0705,0.0045,0.0043
Dec-97,0.040024257,-0.032817337,-0.05617284,0.091152815,-0.122065728,-0.109719738,-0.0216,0.0108,0.0218,0.0099,0.0293,0.0418,0.0217,0.0155,0.0784,-0.066,-0.0056,0.0178,0.0048
Nov-97,0.124829468,-0.115068493,-0.04462355,-0.16367713,0.141071429,0.016979988,-0.0305,-0.0083,0.004,0.048,0.0341,0.0326,-0.0242,-0.0233,0.017,-0.0654,-0.0676,0.0305,0.0039
Oct-97,-0.186910704,0.019553073,0.113860302,-0.057082452,0.147540984,0.057729314,-0.0609,-0.0339,-0.023,-0.0346,-0.0311,-0.027,-0.1298,-0.286,-0.0546,-0.0841,-0.0318,-0.0345,0.0042
Sep-97,-0.167205543,0.057294743,-0.070614571,-0.059642147,-0.164383562,-0.130992196,0.0897,0.0787,0.0782,0.0509,0.0595,0.0568,0.0643,0.0562,0.1495,-0.0191,0.1059,0.0584,0.0044
Aug-97,0.085213033,0.021726011,0.045531915,0.212048193,0.138401559,0.130434783,0.0385,0.0323,0.0319,-0.0577,-0.0334,-0.0296,-0.0683,-0.1324,-0.0227,-0.0896,0.006,-0.0363,0.0041
Jul-97,-0.002998501,-0.051516886,-0.039640376,-0.095860566,-0.172580645,0.014705882,0.0493,0.0546,0.0547,0.0775,0.0903,0.064,-0.0055,0.0597,0.0534,-0.0301,0.0195,0.0765,0.0043
Jun-97,0.043274244,0.01216686,0.171934866,0.162025316,0.156716418,0.051075269,0.0382,0.0572,0.0649,0.0416,0.0464,0.0272,0.0408,0.0446,0.0927,0.0674,0.0176,0.0441,0.0037
May-97,-0.13369467,-0.024307518,0.043217587,0.115819209,0.091649695,0.029045643,0.1537,0.0976,0.0786,0.0701,0.0587,0.0591,0.028,0.1227,-0.0036,0.1305,0.0539,0.0716,0.0049
Apr-97,0.135384615,0.056750299,0.077813678,0.023121387,0.074398249,0.089675961,-0.031,0.0059,-0.0012,0.0673,0.0445,0.0167,0.0297,0.0144,0.0145,0.0266,-0.0515,0.0423,0.0043
Mar-97,-0.057971014,0.065563335,0.169395466,0.108974359,0.070257611,0.042419482,-0.0842,-0.0323,-0.0177,-0.055,-0.0259,-0.044,0.0008,-0.0639,0.0282,-0.0298,0.0259,-0.0448,0.0043
Feb-97,-0.159220146,0.022786458,-0.045099218,-0.003194888,-0.009280742,-0.004691165,-0.0613,-0.0028,0.0121,0,0.004,0.021,0.0331,0.0008,-0.1039,0.0215,-0.0453,-0.0011,0.0039
Jan-97,0.051238258,-0.584415584,-0.081469207,-0.125698324,0.033573141,-0.037622272,0.0423,0.0283,0.0317,0.0659,0.0519,0.0302,-0.0386,-0.0246,0.1158,-0.1087,0.0786,0.0534,0.0045
